PROVINCIA, AUDI, BMW, CHEVROLET, FIAT, FORD, HONDA, ISUZU, IVECO, MERCEDES BENZ, NISSAN, PEUGEOT, RENAULT, SCANIA, SUZUKI, TOYOTA, VOLKSWAGEN, TOTAL
BUENOS AIRES,420,314,18676,13585,19558,2111,63,609,2982,698,16772,14737,175,3966,4584,27753,127003
CAPITAL FEDERAL,1036,740,12358,9098,11104,3095,53,935,4181,810,10559,10946,406,1899,4984,20195,92399
CATAMARCA,4,5,447,138,487,13,1,7,61,15,250,345,7,24,133,469,2406
CHACO,17,49,1425,330,836,99,0,93,143,56,236,720,45,188,487,1405,6129
CHUBUT,11,29,2029,742,2441,31,1,149,178,124,803,1006,107,165,836,2321,10973
CORDOBA,238,126,6159,5105,6978,464,39,180,417,335,4326,5690,162,1054,2542,8786,42601
CORRIENTES,33,52,1091,560,896,124,3,86,129,80,461,667,83,176,529,1477,6447
ENTRE RIOS,11,20,1034,1024,1484,118,2,59,220,95,883,1153,41,145,634,2148,9071
FORMOSA,0,9,552,160,451,24,10,21,19,22,193,261,5,83,206,557,2573
JUJUY,7,27,610,429,581,8,1,38,253,55,274,506,79,59,347,741,4015
LA PAMPA,17,3,931,331,789,17,0,22,53,49,380,581,11,51,335,956,4526
LA RIOJA,4,7,286,116,447,10,0,8,27,16,178,226,10,28,197,484,2044
MENDOZA,5,41,2121,1434,2424,159,15,115,535,200,1627,1384,74,326,785,2554,13799
MISIONES,0,9,1016,662,789,11,12,83,125,67,483,614,32,77,311,1349,5640
NEUQUEN,10,28,1685,1131,2261,30,18,97,307,165,620,1035,87,195,523,1630,9822
RIO NEGRO,6,9,1333,1098,1028,34,1,22,78,50,586,787,22,141,222,1057,6474
SALTA,22,30,1318,732,997,27,13,79,244,86,624,728,61,50,652,1509,7172
SAN JUAN,4,6,545,393,727,26,0,57,104,18,321,226,37,28,356,790,3638
SAN LUIS,12,6,459,262,469,23,4,13,20,37,377,310,18,37,258,580,2885
SANTA CRUZ,6,15,1445,341,1243,25,2,31,139,33,455,604,67,45,356,1414,6221
SANTA FE,226,165,6192,3851,5892,525,21,251,778,212,4221,5177,162,988,1883,7354,37898
SANTIAGO DEL ESTERO,2,7,428,273,776,16,2,8,41,39,326,229,20,27,318,488,3000
TIERRA DEL FUEGO,2,0,1023,764,664,178,1,31,131,60,548,568,77,23,368,1176,5614
TUCUMAN,11,2,1425,1176,1032,179,31,47,113,22,676,295,26,319,332,1270,6956
TOTAL,2104,1699,64588,43735,64354,7347,293,3041,11278,3344,46179,48795,1814,10094,22178,88463,419306
