PROVINCIA, AUDI, BMW, CHEVROLET, FIAT, FORD, HONDA, ISUZU, IVECO, MERCEDES BENZ, NISSAN, PEUGEOT, RENAULT, SCANIA, SUZUKI, TOYOTA, VOLKSWAGEN, TOTAL
BUENOS AIRES,138,54,4098,2109,2650,449,0,101,411,69,2388,3448,29,1,812,5130,21887
CAPITAL FEDERAL,203,58,1912,875,1055,392,0,69,449,78,1093,1441,16,0,571,2377,10589
CATAMARCA,0,0,105,69,48,2,0,3,3,0,37,89,0,0,46,107,509
CHACO,8,0,308,69,97,17,0,10,2,5,110,135,3,0,92,203,1059
CHUBUT,4,2,292,99,199,29,0,7,14,7,72,209,3,0,138,268,1343
CORDOBA,49,13,996,785,843,99,0,40,54,45,688,978,16,0,292,1099,5997
CORRIENTES,28,4,358,123,158,24,0,13,43,12,112,150,7,0,176,370,1578
ENTRE RIOS,11,1,331,123,179,36,0,5,19,16,192,269,3,0,129,450,1764
FORMOSA,2,1,203,63,88,3,0,2,9,1,54,51,0,0,77,106,660
JUJUY,6,1,113,110,104,1,0,5,20,8,70,153,11,0,57,175,834
LA PAMPA,5,1,132,66,59,2,0,0,3,9,73,112,0,0,66,168,696
LA RIOJA,3,1,81,41,62,1,0,2,3,1,57,72,5,0,28,80,437
MENDOZA,15,12,496,189,212,33,1,13,51,12,304,407,10,0,157,638,2550
MISIONES,1,1,212,99,98,10,0,7,2,8,110,119,1,0,69,172,909
NEUQUEN,5,2,259,145,206,24,0,21,51,2,79,189,7,0,153,291,1434
RIO NEGRO,1,1,214,161,105,6,0,0,6,2,87,183,2,0,44,232,1044
SALTA,7,0,204,203,148,1,0,4,17,12,118,223,6,0,116,335,1394
SAN JUAN,1,1,149,89,81,8,0,9,12,0,92,139,1,0,78,159,819
SAN LUIS,1,0,88,92,55,0,0,5,1,4,67,72,1,0,39,165,590
SANTA CRUZ,3,3,165,80,126,4,0,3,5,2,40,107,2,0,72,176,788
SANTA FE,39,12,1234,499,687,118,0,46,73,35,537,892,11,0,290,1024,5497
SANTIAGO DEL ESTERO,4,1,104,86,83,3,0,7,14,11,71,152,0,0,56,173,765
TIERRA DEL FUEGO,6,0,96,55,67,11,0,5,7,0,45,73,1,0,50,132,548
TUCUMAN,4,3,300,215,215,35,0,20,31,14,138,225,6,0,74,310,1590
TOTAL,544,172,12450,6445,7625,1308,1,397,1300,353,6634,9888,141,1,3682,14340,65281
